Model,Rating,Title,Review
OnePlus 7T,5,Good,Very good phone.
OnePlus 7T,5,Good,Very nice
OnePlus 7T,4,Good,Good
OnePlus 7T,3,No value for money,My phone cracked within 4 months with the case provided in the box. The phone never dropped it just cracked by it's self.
OnePlus 7T,5,Very good,Good
OnePlus 7T,5,Camera not good prefer oppo,"Camera is not upto the mark in low light , thought i wasted my money ."
OnePlus 7T,5,One plus 7 T mobile is my dream,Super performance and good camera quality.
OnePlus 7T,5,Superb,"Complete package from OnePlus 7T. All round performance phone.
Previously used OnePlus 5. This prompted me for upgrade to 7T because the brand offers good values for price we pay. Recommended device for every one."
OnePlus 7T,5,Good Quality Phone,Awesome 👍 Phone
OnePlus 7T,5,Value for money,Nice product
OnePlus 7T,5,Best phone.,😍😍😍😍
OnePlus 7T,5,Osm,Osm product
OnePlus 7T,5,Review after one month usage,"Display, performance, Camara are excellent but Battery is draining very fast."
OnePlus 7T,5,Value for money,"Top class, best in this price segment"
OnePlus 7T,3,Lock screen problem,Software problem ga undi lock screen valla chala problem ga undi will u rective another mobile
OnePlus 7T,1,Worst Phone Ever,OnePlus 7t Was My First OnePlus Phone.OnePlus Phones Are The Worst.These Phones Have Lot Of Issues.Do Not Waste Money On These Phones.Go For Other Brands.👎👎👎👎👎👎👎👎👎
OnePlus 7T,4,7T vs pixel,Camera is good and clear but fails to step above google pixel camera. Rest all is thumbs up.
OnePlus 7T,5,Good,Very good profomns
OnePlus 7T,5,Exlent phone,Supper phone
OnePlus 7T,5,nice phone,excelant
OnePlus 7T,3,Disappointed a bit,"Felt so much excited after getting the phone..I felt really funny that WhatsApp hangs sometimes,Prime Video and Netflix gets errors because of highly advanced software of One Plus or whatever don't really understand! This is a highly dissatisfaction I'm having right now,as it's not even 2 months hardly I have received this mobile..Think before going for this"
OnePlus 7T,4,Nice phone,Charging capicty was nice
OnePlus 7T,5,Good buy,Best you get for the price..with the perfect 90hz display and it so smooth..battery and 30 watt charger is more than good..im bit disappointed with the camera.. but good..overall a good phone..
OnePlus 7T,5,Good,Good
OnePlus 7T,4,Good purchase,The phone becomes heat a lot..
OnePlus 7T,5,Good phone,Good phone
OnePlus 7T,5,Best mobile with good touch,Best mobile
OnePlus 7T,1,Not good,Thik
OnePlus 7T,5,Best,Super
OnePlus 7T,5,Camera Shortcut,camera qualiy is fine but google camera shortcut required in setting manu itself.
OnePlus 7T,5,Awesome,Best phone in this range.
OnePlus 7T,5,Not price Worthy.Go for realme x2 pro,Good one
OnePlus 7T,4,One Plus Gave up!! Couldn't Bring a Quality one,"Camera performance not upto the mark, rest all fine. Battery back up, premium look and other stiff are good. But camera disappointed me, not able to give good pictures in many condition. Most of the photos are over saturated.Not Worth for 35K, Pricing of 25K suits. This is for its software and SD processor"
OnePlus 7T,1,Really bad product,"I've been using OnePlus 7T for exactly 1 month now
The battery life is really bad, even with minimal on screen time it doesn't last even a day and the charging takes exactly 1 hour.
The finger print reader icon stays on screen even after the phone has been unlocked and the unlock is not even fast.
The camera quality is very bad.. there are just grains onnthe image and the night scape is a disaster."
OnePlus 7T,5,4.5star,poor fingerprint sensor bt facelock is amazingly faster
OnePlus 7T,5,Oneplus awesome,"Fingerprint response time is slow some times,excepty every thing awesome"
OnePlus 7T,4,Good,Good
OnePlus 7T,5,7t is rocking,"Pros
Excellent performance
Gorgeous display
Elegant looks
Extremely fast charging
Audio output is mind blowing
Cons
Notch appears dated
No audio jack
No expandable storage"
OnePlus 7T,4,Awesome,Awesome
OnePlus 7T,5,Good,Good
OnePlus 7T,5,Beast of all phone,"Owesome phone by oneplus super fast finger print unlock, phone and charging."
OnePlus 7T,4,Feedback,Excellent phone but some time get hang
OnePlus 7T,1,Bad one,Heating problem..
OnePlus 7T,5,Good,Good
OnePlus 7T,1,Camera is not working properly,Very bad experience
OnePlus 7T,5,Cool phone,Best android phone till now... Loved it
OnePlus 7T,5,Happy,Best phone and camera phone faster phone good better bekup
OnePlus 7T,5,Worth the money,Battery seems to drain faster when playing game. But overall satisfied.
OnePlus 7T,1,Worst mobile and Amazon service,Worst product and I retired the product
OnePlus 7T,5,Top class phone,One of the best phone I have ever seen its I thing better than I phones.
OnePlus 7T,5,Good,Good product
OnePlus 7T,4,Good price,Good phone for the price
OnePlus 7T,5,Awasome camera with sexy glacier Blue colour back panel.,"Excellent mobile.
Camera awasome.
Blue colour looks sexy.
Finger print reader need to improve little bit comparatively samsung premium Mobiles."
OnePlus 7T,5,Great Quality Product at an amazing price,Great Quality Product at an amazing price
OnePlus 7T,5,Handsome.,Till now it is ok.Good
OnePlus 7T,3,Issue with loading picture with watsapp and insta,Issue with loading picture with watsapp and insta
OnePlus 7T,1,Diap,Phone display not working with in one month's and it's very high cost phone I am purchase it but really bad feedback phone and I am totally helpless . phone it totally stand by and not working last one days and I am trying to open it but not display the phone it totally black.
OnePlus 7T,5,Best phone,"One of the best Android phone I have ever used.
One plus you rockzzz.."
OnePlus 7T,4,Sky high limits,Bang for 💰
OnePlus 7T,5,Awesome,Good to use
OnePlus 7T,5,Price is too high,Good phone but price is too high
OnePlus 7T,5,Nice,Overall Good Performance!!
OnePlus 7T,5,Best Phone,Best phone you can buy in this range..
OnePlus 7T,5,oneplus 7t best phone,kalsubai tracking
OnePlus 7T,5,Excited,Very nice product 👌
OnePlus 7T,5,Nice quality,Nice quality
OnePlus 7T,5,It's is the One+,Superlative product. Better than iPhone... Much better hardware ànd terrific battery....
OnePlus 7T,1,One plus 7t worst phone of one plus,"Worst phone one plus 7t as they used low quality back cover. And the model is not proper if the panel is banned then also you have to change your display and the cost is bear by the customer , they will not change it in warranty. The customer service is so slow even in 24 hours they didn't get back to the customer and find the solution for the customer and this phone is hardly fall from 2 feet."
OnePlus 7T,5,An amazing weapon ever made,"Its just the battery backup but the warp charging is lit,  So it wont be a problem ❤️"
OnePlus 7T,5,Impressive performance,"Impressive in gaming department.
Thumps up for camera."
OnePlus 7T,5,Awosome phone,"Over all phone is awesome
Battery backup is not good
Camera is awesome"
OnePlus 7T,5,best,superb love amezon
OnePlus 7T,5,Best phone for Rough and tough use.full Paisa wasool,"Writing after 15 days of use
My previous phones from
iPhone 7,S7 edge Samsung
This phone is the best phone right now in the market
Pros:
1) boom fast charging
2) superb camera result and speed
3) outstanding face unlock and finger unlock super duper fast
4) Android 10 out of the box
5) blue colour looks awesome
6) snapdragon 855+
7) big screen still can be used by one hand
8) dual sound speakers are loud enough
Cons:
1) not super AMOLED display"
OnePlus 7T,5,Great product,Good
OnePlus 7T,5,Brilliant,Excellent in all aspects
OnePlus 7T,5,Very Good,Super
OnePlus 7T,4,Performance is far better than iPhone,Performance is far better than iPhone
OnePlus 7T,5,It's a beast 😍,"Well yeah finally I'm writing something for my one plus 7T. Actually I was using xiomi brands. First time I switched to oxygen os. I couldn't believe how smoothly it's running. I loved it alot. Especially design,build quality and camera. It's really a powerful device. After using 90hz refreshment uh ll forget about 60hz mobile. About battery life it's average. Fingerprint sensor is very fast but I ll recommend use face unlock bcs it's very fast and uh ll never use thousand times for using ur fingers."
OnePlus 7T,1,Hanging issues,Hanging issues
OnePlus 7T,5,Awesome phone,Value for money
OnePlus 7T,5,Awesome phone,The best phone OnePlus has ever made
OnePlus 7T,5,Great phone,Very good product
OnePlus 7T,3,Problem Facing just within 3 months,"Bluetooth stop working suddenly , Some times apps(whatsapp)not work properly"
OnePlus 7T,5,Nice but needs an earphone too,Nice product. They could have provided earphones too.
OnePlus 7T,5,"If You Spend 34,999 For This Phone Then Congratulations You Have A Good Choice","Fingerprint Reader: 5/4.9
Camera: 5/5
Battery: 5/4.8
Charging: 5/5
Display: 5/4.9
Processer: 5/5
Sound: 5/5
Battery Back up 9 Hours and 30 Mints But Sometimes i felt bad for Battery Backup But Then I Think Wrap Charging Then I am Happy. Full Value For Money I am Extremely Happy With it"
OnePlus 7T,5,Great product but accessories costly,First time using OnePlus awesome experience premium quality like a apple iphone.
OnePlus 7T,5,Best phone,Good
OnePlus 7T,5,Excellent,Excellent
OnePlus 7T,5,Switch to OnE PlUs,A great Gadget to look on..!
OnePlus 7T,5,camera love,"If u are a one plus lover I don't think u have any need to read a review before purchasing any one plus device , I switched on 7t from one plus 6 , and experience was amazing , sound quality is chumaa, battery backup good, and charging speed is just like fattt se charge , and the main thing its camera , I attached some sample pic and u can see the power of one plus camera , u can go with it"
OnePlus 7T,4,Superb for gaming and ok for daily use,"I love the phone, but there are some times where the phone just freeze. Gaming is smooth even in hign settings. But daily use i found some lags in processes"
OnePlus 7T,5,Excellent,I love oneplus because of the oxygenOS
OnePlus 7T,4,Just 2 cons.,"Everyone knowns there are sooo many Pro's but few cons-
No notifications led.
No headphone jack (ateast provide connector USB C to 3.5mm)
Can't find any other."
OnePlus 7T,5,Awesome experience..,Nothing to say go for it
OnePlus 7T,5,Phone is awesome,"Camara result is Awesome
Fingerprint reader is faster
Battery life needs to be improve beat"
OnePlus 7T,5,Excellent,Na
OnePlus 7T,4,Worth it,"Except for the battery life, everything else is just outstanding."
OnePlus 7T,5,One plus 7T is a good choice .,Battery life is 24hours!
OnePlus 7T,5,Only one plus 7t,"Requir only 20 mit to charg +85%
Face unlock work very good in day as well as day
Camera work like photographer"
OnePlus 7T,1,Worst phone of one plus,"Worst phone from one plus , can some one help me to get it replaced"
OnePlus 7T,5,Low battery,Battery
OnePlus 7T,5,Looking for a budget flagship so for it,Battery backup is not as expected but with the wrap charger i can cope up with it ....
OnePlus 7T,4,Best,Over all best in its price bracket.
OnePlus 7T,5,Very good 👍,All features are very nice
OnePlus 7T,5,Value for money,Great phone. Value for money
OnePlus 7T,5,Love it,Overall good product..
OnePlus 7T,5,Very nice phone,Phone as expected
OnePlus 7T,5,Excellent phone.,Everything is good except the photo quality.
OnePlus 7T,1,Getting voice issue while talikg on calls,"Hiii Oneplus team, one month before i bought oneplus 7T version, regularly i am getting voice issue while talking on calls, opposite person is unable to hear my voice clearly. They are getting a break in my voice. I have check with other mobile with the same sim card but there is no networks issue.
Please advise any suggestion how can i resolve my issue."
OnePlus 7T,5,Excellent mobile phone,Hello excellent mobile phone battery backup excellent camara excellent
OnePlus 7T,5,Awesome,Using it for few months ...some time I find lagging but otherwise great mobile..best camera among one plus series
OnePlus 7T,5,My review,"Everything is good, best budget flagship killer"
OnePlus 7T,5,REAL FLAGSHIO,"The quality of camera, screen, audio, video is the best. The fingerprint is a bit slow.
Battery life is short, but a powerful charger makes up for it."
OnePlus 7T,5,It's satisfaction,Everything is awesome
OnePlus 7T,5,7T experience,Its amazing cell. Speed is too good. Also looking wise great...
OnePlus 7T,5,Super,This phone is very good and faster and better
OnePlus 7T,5,Waaaaaaah......! Fabulous,"Simply Awesome! I really had a confusin whether to go for Realme X2 Pro or OnePlus 7T. I took a wise decision by going with OnePlus 7T just for it Oxygen OS and for the brand name !
* Great Display
* Great Camera
* Great Battery Life. It charges 70% in just 30 Mins and 0-100% in 53 Mints
Cons / Which i feel should have made the device better are lack of Headphone Jack & Full Display Screen or a Punch hole camera would have been a great."
OnePlus 7T,1,Lesser than expected,Received a damaged piece and the system was hang while using..
OnePlus 7T,5,Rival of iPhone,Very good
OnePlus 7T,5,Smooth,Oneplus is Love
OnePlus 7T,3,Good,Awesome
OnePlus 7T,5,OnePlus 7T - A great choice,Delivered on time. Looks great. A bit heavy and bigger than any other phone I have handled. Easy to use. Super excited to use it more and learn more. Extremely satisfied
OnePlus 7T,2,Fast process but not worth,"Oneplus 7t..  m not happy with this series...  and it has a problem with whatsp and Instagram... Most of the times 3rd party apps will not work.. OnePlus cares saying still wtsp and Instagram not updated their app to Android 10... It's been 10 over after release of Android 10 I DNT know what to say....
This phone has fast process... M not denying it.. but not happy with 3rd party application.."
OnePlus 7T,5,Awesome phone,Awesome phone
OnePlus 7T,4,7T model,Camera is not upto the mark
OnePlus 7T,5,Sexy phone,Amazing smartphone
OnePlus 7T,4,Overall it is good choice.,"Working good, desent camera, good battery life, built quality awesome, looking so premium overall it can be a good choice but some time I m facing hang issue."
OnePlus 7T,5,Don't ever hesitate to buy,Best phone
OnePlus 7T,1,Real gorrila glass itself broken,Real gorilla glass broken itself in pocket. Even the phone was in protective cover. Oneplus should think about this.
OnePlus 7T,5,Masterpiece,Awesome phone
OnePlus 7T,3,overly hyped,"I think it is most overly hyped device present in the market.
I was an iPhone user and was looking for a phone of price range 30-40k.
i was searching from a month to buy a decent phone so after watching number of videos about the phone i decided to buy OnePlus 7t. i used it for 3-4 days and sold it on OLX for the loss of 4000. The experience was very bad.
I thing i want to tell you please don't go by specifications, they are making fool. i will tell my point by point.
Display- They says Fluid amoled display but believe me its very ordinary display. Its goes blind in the sunlight my Iphone 6s display is batter than this in the sun light.
Camera- back camera takes photos in details but colors are not natural. Contrast is very high. one can clearly see the difference between the actual colors and color of the objects in the photos.
Face Detection sensor- is not very good. it doesnt work all the time.
Size- Phone is large in size.
Looks- I didnt like its ugly camera bump at the back."
OnePlus 7T,5,Battery,Battery works like 3000 mah
OnePlus 7T,5,Must buy,Great product loved it thanks Amazon and OnePlus
OnePlus 7T,5,Excellent,Finger print slow
OnePlus 7T,2,"Camera quality is below avg for this price. Also battery life is bad, not better than my OP3T","Camera quality is below avg for this price. Also battery life is bad, not better than my OP3T..It wasn't worth the upgrade. Highly disappointed with the OnePlus quality on this mobile. Note: New issue: Fast charging stopped working from last 4 days due to no apparent reason!"
OnePlus 7T,5,Another excellent product from one plus.,Overall good phone.
OnePlus 7T,5,Never Settle,Just awesome
OnePlus 7T,4,They don't give earphones also in free,"That's average mobile , not more good compare to price.
Please don't buy."
OnePlus 7T,5,N,Super
OnePlus 7T,4,Good,Good
OnePlus 7T,5,OnePlus..❣️❣️,Genuinely i have no words to describe the performance of this mobile it just awesome..❣️❣️❣️
OnePlus 7T,1,Forgot the pnline offers and buy offline,"Amazon product are bad
When i bought mobile they work properly after 7-8 days the problems will start step by step first of all my hotspot not working then after I'll using phone in charing they work automatically and now my ambient display is not working"
OnePlus 7T,4,Loved one plus,"Superb phone.
Loved it"
OnePlus 7T,5,Excellent Phone,Excellent product
OnePlus 7T,5,Nice,"Its very nice mobile.
Worth of money.
Fingerprint reader is very accessible."
OnePlus 7T,4,Oneplus BEAST !!!,"I'm personally extremely happy on buying OnePlus 7T, I always used to wonder why people always talk about its features, durability, performance etc.
It surely is the Best phone within the range, I had evaluated around 4-5 Smartphones before buying this... This phone is a clear winner in all the departments ! Say it Camera, Gaming, Multitasking, Battery life, its all top notch...
The only thing I feel is, this phone could have been powered by 4000+ mAH battery which is 3800 as of now.
With OnePlus fast charging it would have been cherry on top of the 🍰
Other than that, its a BEAST"
OnePlus 7T,5,Great experience with OnePlus!,Proud to be the one who has premium performance crossover in hand!
OnePlus 7T,5,It's rocket,I have upgraded form iphone 5s to OnePlus 7t and really its value of money totally satisfied with quality and in office by its performance all iPhone users who has iphone 8 and xr were totally silent haha..after experiencing it's performance so I'm proud owner of this phone
OnePlus 7T,5,Value for money phone,Value for money phone
OnePlus 7T,5,One plus 7t,Sometime when I click the photo and after that when I going through the upload in WhatsApp status that time mobile hang otherwise everything is ok
OnePlus 7T,5,Best Phone of year 2019,The best phone so far
OnePlus 7T,5,Lost it,"It's good phone, but I lost after 10days of buying.
I have to pay EMI on every 20th."
OnePlus 7T,5,Good,Good
OnePlus 7T,5,Go for it,One word - Best in all aspects
OnePlus 7T,5,Mast jabardast jindabaad,Completely perfect and flagship killer
OnePlus 7T,4,One pluse,Phon is awesome but Bettry back up is very poor
OnePlus 7T,5,One plus 7T,Phone is very gud but battery is not gud
OnePlus 7T,5,Very good,Superb model
OnePlus 7T,5,Nice,Nice phone
OnePlus 7T,4,First time buyer and satisfied.,Size is little bit big and front camera could be more effective.
OnePlus 7T,5,One of the best mob,💥💥🔥🔥🔥
OnePlus 7T,5,Best premium flagship right now,Very good
OnePlus 7T,5,Good,God
OnePlus 7T,5,Awesome product,Overall the best product from OnePlus😊
OnePlus 7T,5,Super sonic speed phone with quality camera,Superb phone worth to have it
OnePlus 7T,5,Awesome prodtand incredible camera,Best android device in the world at this price..
OnePlus 7T,4,Very good,Very good
OnePlus 7T,5,Leva jevo phone,"Excellent phone
Best performance"
OnePlus 7T,5,Best product,Best product
OnePlus 7T,5,Awesome product,Awesome
OnePlus 7T,5,Very very good,Very good
OnePlus 7T,5,Satisfied,Everything is good 👍
OnePlus 7T,5,Failure,Failure
OnePlus 7T,5,🔔,It's amazing yrrr
OnePlus 7T,5,Very good,Good
OnePlus 7T,5,From the Perspective of OnePlus 7t owner,Op product awesome camera best for gaming but battery life is decent
OnePlus 7T,5,Super,Nice mobile
OnePlus 7T,5,Nice phone,I love oneplus its good and charging speed is to fast firstly u notice that stero speakers to loud
OnePlus 7T,5,Excellent phone 👌,Excellent phone. No issues till now.
OnePlus 7T,5,Awesome,Awesome
OnePlus 7T,5,Super,Great Beast
OnePlus 7T,5,One Rocking Plus,One Rocking plus in all form of performance from a phone one and only plus that is OnePlus 7T
OnePlus 7T,5,Value for money,Good
OnePlus 7T,5,Awsm,Thanks to one plus to make this product. All is well.
OnePlus 7T,4,Great camera,Awesome device
OnePlus 7T,5,Best for gaming,"Excellent performance, best phone for gaming, HDR graphics HD quality sound,"
OnePlus 7T,5,Amazon service very fast,Phone awesome I m very happy Amazon service  and customer support team  1 bout one plu7t. Battery issue ease complain within 24ho my phone replace with new phone now my phone is ok I m very happy
OnePlus 7T,5,"Perfect buy,Value For money..","Ek number, must buy.."
OnePlus 7T,5,Oneplus 7t is beautifully crafted masterpiece,"I m speechless with the quality and features that oneplus provides.One plus 7t is absolute marvellous crafted product .It has got a very fast fingerprint reader and a very fast face unlock ...the speed of the mobile is very fast and switching from one app to another is is so easy now .Thanks oneplus for such an amazing product .The only problem I encountered was the battery .The battery gets exhausted very soon but if you use it to the nominal rate ,it can survive for a 11-12 hrs .Not useful for watching movies or playing games for a long time without charging.It has got an Excellent camera with 2-4 option for zoom distance and many other options in pro mode .Dark mode is also good ."
OnePlus 7T,1,Dont buy it buy Samsung or Apple,Dont waste your money on this cheap china product go for Samsung note10 plus or iPhone 11 pro. The camera is the worst battery better but the phone heats up quickly
OnePlus 7T,5,Great Phone,Camera and Performance great but Battery little bit poor as compared to old oneplus devices
OnePlus 7T,5,Best Android ever used...,"Using since October, 2019... stupendous...."
OnePlus 7T,5,Excellent product,4.5 stars for the camera quality. 5 stars for performance. Overall a very good phone. Worth to buy
OnePlus 7T,5,Lovely phone,"Best phone i ever use ♥️
Advansd camra"
OnePlus 7T,4,Worth the money,It's amazing
OnePlus 7T,5,Great phone,"I was using p30 lite for a year and then switched to this and what a huge difference I have seen.the only major issue is it has a small battery pack but the warp charging more or less nullifies it,and another issue is that the ambient display doesn't work sometimes,but it may get fixed in a software update"
OnePlus 7T,5,Best mobile,Camera is awesome
OnePlus 7T,4,Great phone. Loving it,"Great phone, face recognition, finger print sensor is super, video recording is of high quality. Easy to use and navigate. Loving the phone. Only drawback is volume of phone is little less, maximum sound of phone ringing is low, and ear phone jack is USB one i.e same slot of charging ,so need to buy a converter"
OnePlus 7T,4,Smoothness in working.,Hangs sometimes and sending media files becomes difficult.
OnePlus 7T,5,Nice product,Nice product
OnePlus 7T,4,Good,"Good delivery fast and nice service amazon
Mobile wonderful oneplus is very nice phone"
OnePlus 7T,5,super phone but battery drains fast,super phone but battery drains fast
OnePlus 7T,4,Best phone,Some apps r not functioning otherwise the phone is very good
OnePlus 7T,3,OnePlus,"The camera is good and all, but it could have been better. The portrait mode is not that good. Overall picture quality is decent."
OnePlus 7T,5,Good,Good
OnePlus 7T,5,Great Value for money,Amazing Phone as per Price to Performance Ration. Must buy for flagship lovers.
OnePlus 7T,4,👌,Best phone
OnePlus 7T,5,Cool phone,Apart from battery life. Everything is cool
OnePlus 7T,5,best Mobile,excellent
OnePlus 7T,4,Feature pack flagship killer,"Battery life is not at par with the brand name and the price tag, fingerprint sensor and screen refresh rate are commendable.camera is very good but i think it does not captures natural colours."
OnePlus 7T,5,Awesome,Great product
OnePlus 7T,5,Overall the product is satisfactory,🔋 life could be better
OnePlus 7T,5,awesome,good
OnePlus 7T,4,Better mobile,Mobile is too good for all the things except battery life for heavy usage I am suggesting Asus Rog 2
OnePlus 7T,1,Do not go with this product it's defective,Very bad product. not sure I have received the genuine piece or its faulty one. But it's not working as per it's configuration and it's very slow responsive and Mobile hang many times. Not recommend.
OnePlus 7T,4,Good product,Good product
OnePlus 7T,5,Qualitie osm,mst phn h
OnePlus 7T,5,Amazing,Lovely
OnePlus 7T,5,Best Phone,Awesome product
OnePlus 7T,5,Best phone under 40K,"OnePlus 7T is the best device available in this price range with amazing features.
Received in great condition.
Faced no issues so far.
Working ultra fast and smooth.
Battery life is amazing, lasts more than a day for normal use.
Gaming experience is also vey nice.
Camera quality is amazing."
OnePlus 7T,5,Best phone,Best phone. Value for money
OnePlus 7T,5,Nice,Very good
OnePlus 7T,5,Big fan..,"Can't extend memory by putting memory card, no memory card slot."
OnePlus 7T,5,It's an ultimate beast,"Awesome phone at an awesome price.
Pros- good camera experience
Extremely smooth, hassle free navigation
Cons- Battery is an area to look out for since it is Powered only with 3800mah, otherwise it's a beast"
OnePlus 7T,5,One the best mobile,Awesome all quality
OnePlus 7T,4,Mobile Performance,One Plus 7T sometime get hanged other than that mobile performance is good...
OnePlus 7T,5,Nice,Nice
OnePlus 7T,5,Nice,Nice
OnePlus 7T,5,Superb phone,"Very fast.
Smooth face & finger unlock."
OnePlus 7T,4,Amazing!!,"Flagship killer!! Best in the range.
Screen/Display-8/10
Battery-8/10
Charging-10/10
Performance-9/10
Camera-10/10
Beautiful phone. Loving the overall feel.
If you have a 35k budget without thinking go for it, the stock Android 10 and constant upgrades make it worth a buy.👍"
OnePlus 7T,5,Wow,"It is a very good product you must buy this.
❤️❤️❤️❤️❤️💚💚💚💚💚📱"
OnePlus 7T,5,Best Android Phone for sure,Best Android Phone for sure.
OnePlus 7T,5,Good,Good
OnePlus 7T,4,Awesome phone for multitasking and camera quality,"OnePlus 7t has been a great device for me. The AMOLED display is top notch, so display quality is awesome.. As always camera quality quiet amuses me however certain low light photographs was not up to the mark.
There is been an one issue in my device and it happened within few days of my purchase. The phone was completely dead and it never responded to any hard restart too. They tried resetting the phone and had the phone on charge for sometime then it worked.  After which there hasn't been any issue."
OnePlus 7T,5,BEST PICTURE QUALITY AND UNBELIEVABLY SMOOTH,Excellent phone built with the highest processor snapdragon 855+.Writing this after 1 month of use still gives that speed of 90Hz .Love it .Go for it #NEVERSETTLE.😘😘😘
OnePlus 7T,4,OnePlus 7t Review,Phone is fast and smooth but it get hang sometime. Not frequently you will lag.
OnePlus 7T,4,"Good, elegant",Camera has slow motion
OnePlus 7T,1,"Not the right proportion of screen size, misleading","My feedback is about the ergonomics and design of this model. The proportion of the screen size is really abrupt. They have not increased both width and height of the phone, rather only the height. This makes it an awkward proportion to use, does not enlarge the viewed content whether videos or other content and feels rather uncomfortable if the purpose is to go for a slightly bigger screen. So while it has a particular rise in screen size compared to previous models, it doesn't actually function and rather is only misguiding."
OnePlus 7T,5,Best budget camera phone,Best budget camera phone
OnePlus 7T,5,rahul,also ok
OnePlus 7T,5,Great value for your money,100% worth the price
OnePlus 7T,5,A good flagship phone,"I have used this phone for quite some time. It's secure, fast and worthy. Better phones will come out but right now this is worth the money."
OnePlus 7T,5,super,excellent product
OnePlus 7T,5,All in one !!,"I love this phone bcoz it is ultra fast in terms of charging as well as phone speed, captures some of the best photos, smooth gaming, amazed by dual stereo speakers supported by Dolby Atmos, fast fingerprint reader, special mention to 90hz display and the oxygen os.
Battery life could have been improved.
If you are looking to buy a phone in this price segment then go for it without even thinking twice.."
OnePlus 7T,5,Good but not best,"Overall it's awesome.
Bt battery life not upto the mark.
Have to increase this.
Overall good experience"
OnePlus 7T,1,Not bad,Back side camera structure is not good
OnePlus 7T,4,iPhone -> Android,"As a user who have never used an android before, OnePlus was my first choice to consider and it did not fail to deliver.
Pros:
+Amazing OLED screen
+Super fast display (90Hz)
+Gaming mode to enhance the gaming experience
+Superb wide angle camera
+Lots of customization options for apps
+Parallel apps functionality similar to Samsung Note series
+Amazing overall performance
Cons:
From what i have used so far,
-Camera(1): Auto focus issue when its in the battery saver mode. Sometimes in the normal mode too.
-Camera(2): No detail in photos when compared to other high end models in the market. Nevertheless the photos are amazing and you cannot find anything bad when you glance at it.
-Crashing of apps (rare and common in Android)
Summary: For the money and its value wrt options and perfromance, its a great phone and a must buy."
OnePlus 7T,3,Average phone.,Battery drains out very quickly. Camera quality is not that good.
OnePlus 7T,4,Battery is good,Super Android
OnePlus 7T,5,One plus 7 T review,Super mobile
OnePlus 7T,5,Gooooood,Smooth experience ever
OnePlus 7T,5,Fluidic love 💫,"The phone is just great... I'm a OnePlus fan so my view may be biased but still the phone is just great.... It ""is"" an upgrade for anyone with OP 6 or 6T as 90 hz display is something which won't let you go back to ur old device even for 10 mins. The speaker also stands out... The display is crisp and major missing thing in this phone is a LED notification light."
OnePlus 7T,5,Phone,"Good phone
Over all good response"
OnePlus 7T,5,Good cell,Excikent cell every function very good and  camra excilent battery backup good
OnePlus 7T,5,Good,Awesome quality
OnePlus 7T,5,Nothing,Nice one
OnePlus 7T,5,Amazing,Next level cellphone .
OnePlus 7T,5,Good,Osm
OnePlus 7T,5,Very best,Very best
OnePlus 7T,5,Happy to buy this superfast !!,All thing are guds but the backup of battery is not gud!!
OnePlus 7T,5,OnePlus 7T,Never Settle
OnePlus 7T,5,Excellent phone,"Best phone of the year overall performance of this phone is above expectation. Camera quality is perfect battery life is good and fingerprint reader is also good. Over points out of 10 i wud say 9, as the jack is not being given in the phone, is a bit disappointing but overall the phone is nothing less then a good combo of specifications"
OnePlus 7T,5,Best phone,Good phone
